,Borough,Address,Latitude,Longitude
0,MN,377 RECTOR PLACE,40.7098514,-74.0178906
1,MN,54 STANTON ST EXTENSION,40.7042832,-74.0101204
2,MN,62 AVE C,40.7225043,-73.979678
3,MN,661 AMSTERDAM AVENUE,40.7916812,-73.9716901
4,BX,2339 MATTHEWS AVENUE,40.8607729,-73.8630175
5,BX,3112 MICKLE AVENUE,40.8722003,-73.8424599
6,BX,2973 INDEPENDENCE AVENUE,40.8831612,-73.9177127
7,BX,3656 JOHNSON AVENUE,40.888172,-73.908994
8,BK,140 LAWRENCE STREET,40.6919561,-73.9864955
9,BK,43 JORALEMON STREET,40.6938672,-73.9980707
10,BK,580 CARROLL STREET,40.6755282,-73.9831136
11,BK,1285A ST MARKS AVENUE,40.6741362,-73.9262622
12,BK,433 MONROE STREET,40.6869019,-73.9401158
13,BK,195 CLASSON AVENUE,40.6943794,-73.9609057
14,BK,1247 86 STREET,40.6148715,-74.0146884
15,QN,51-24 2 STREET,40.7407276,-73.9616111
16,QN,45-40 VERNON BOULEVARD,40.747375,-73.9531333
17,QN,46-42 VERNON BOULEVARD,40.7457969,-73.9533979
18,QN,5-43 48 AVENUE,40.7445319,-73.9541674
19,QN,10-37 JACKSON AVENUE,40.7424428,-73.9532559
20,QN,50-02 NORTHERN BOULEVARD,40.7521246,-73.9127494
21,QN,49-08 SKILLMAN AVENUE,40.7459588,-73.9149192
22,BK,1518 CANARSIE ROAD,40.6344762,-73.8969027
23,BK,398 KINGS HIGHWAY,40.6042914,-73.9752556
24,QN,82-47 ST JAMES AVENUE,40.7390004,-73.880423
25,QN,33-43 JUNCTION BLVD,40.75565,-73.872658
26,QN,150-23 HOOVER AVENUE,40.7145091,-73.8092672
27,QN,180-28 WEXFORD TERRACE,40.7141003,-73.7815757
28,QN,99-12 199 STREET,40.7108807,-73.7608709
29,SI,307 ST MARKS PLACE,40.6426178,-74.0780414
30,SI,2 WINDHAM LOOP,40.5786599,-74.1630432
31,QN,86-19 115 STREET,40.6992097,-73.8340113
32,SI,40 MARYLAND LANE,40.609062,-74.0749588
33,SI,450 JERSEY STREET,40.6372014,-74.0869526
34,MN,246 WEST 139 STREET,40.8184101,-73.9437765
35,MN,138 WEST 136 STREET,40.8151923,-73.9419223
36,MN,43 2 AVENUE,40.7253658,-73.9904284
37,MN,130 WEST 72 STREET,40.7776574,-73.9801017
38,MN,13 AVENUE A,40.7227523,-73.9862619
39,MN,2322 1 AVENUE,40.7980031,-73.9335653
40,MN,91 CANAL STREET,40.7155699,-73.9935213
41,MN,43 WEST 32 STREET,40.7482238,-73.9874766
42,MN,3816 9 AVENUE,40.8621951,-73.9185195
43,MN,213 EAST 89 STREET,40.7805446,-73.9515031
44,MN,425 EAST 72 STREET,40.7674369,-73.954408
45,MN,461 5 AVENUE,40.7522303,-73.9813545
46,MN,251 DELANCEY STREET,40.7164359,-73.98113
47,MN,184 PRINCE STREET,40.7262829,-74.0021539
48,MN,417 EAST 117 STREET,40.7965349,-73.9339821
49,MN,103 PRINCE STREET,40.7251164,-73.998979
50,MN,508 EAST 5 STREET,40.7244483,-73.9839707
51,MN,112 LIBERTY STREET,40.7095941,-74.0120978
52,MN,88 WADSWORTH AVENUE,40.8475938,-73.9369748
53,MN,328 WEST 87 STREET,40.7899014,-73.9787618
54,MN,19 VERMILYEA AVENUE,40.8645795,-73.9255558
55,MN,252 WEST 76 STREET,40.7819642,-73.9821694
56,MN,710 ST NICHOLAS AVENUE,40.8243964,-73.9440858
57,MN,408 EAST 59 STREET,40.7591888,-73.9615499
58,MN,53 EAST 92 STREET,40.7846083,-73.9553026
59,MN,175 LUDLOW STREET,40.7219071,-73.9876835
60,MN,172 DUANE STREET,40.7169037,-74.0097363
61,MN,2508 BROADWAY,40.7928479,-73.9725997
62,MN,108 EAST 101 STREET,40.7893627,-73.949915
63,MN,4 EAST 88 STREET,40.7823809,-73.958962
64,MN,44 WEST 56 STREET,40.7629833,-73.9766911
65,MN,328 EAST 86 STREET,40.7771545,-73.9507763
66,MN,311 EAST 25 STREET,40.7390606,-73.9791244
67,MN,17 EAST 74 STREET,40.7735421,-73.9649355
68,MN,158 READE STREET,40.7168871,-74.0105083
69,MN,11 PELL STREET,40.7146259,-73.9978717
70,MN,9 EAST 45 STREET,40.7552463,-73.9785202
71,MN,435 EAST 114 STREET,40.794216,-73.9346164
72,MN,84 WEST 119 STREET,40.8035411,-73.9478852
73,MN,129 FULTON STREET,40.7103274,-74.0073908
74,MN,191 WEST 10 STREET,40.7343799,-74.0034459
75,MN,463 LEXINGTON AVENUE,40.7534641,-73.9742798
76,MN,523 EAST 73 STREET,40.7672163,-73.9518955
77,MN,280 RECTOR PLACE,40.7086658,-74.0168587
78,MN,424 WEST 116 STREET,40.8062386,-73.9603921
79,MN,283 EAST BROADWAY,40.7143257,-73.9843555
80,MN,269 CANAL STREET,40.7191356,-74.0009848
81,MN,WEST 163 STREET,40.8365033,-73.9386007
82,MN,311 EAST 105 STREET,40.7898229,-73.9420383
83,MN,81 SPRING STREET,40.7229068,-73.9979797
84,MN,153 WEST 93 STREET,40.7918895,-73.9706138
85,MN,13 DOWNING STREET,40.7297577,-74.0029009
86,MN,269 EAST 7 STREET,40.723599,-73.977145
87,MN,429 EAST 80 STREET,40.7727218,-73.9508842
88,MN,533 WEST 147 STREET,40.8273736,-73.9480725
89,MN,618 WEST 147 STREET,40.8278549,-73.9503919
90,MN,236 WEST 123 STREET,40.8080904,-73.9508726
91,MN,154 WEST 127 STREET,40.8097711,-73.946793
92,MN,43 WEST 86 STREET,40.7863618,-73.9711398
93,MN,520 EAST 14 STREET,40.7296901,-73.9793944
94,MN,24 WEST 28 STREET,40.7452377,-73.989195
95,MN, TERRACE VIEW AVENUE,40.8753278,-73.9139039
96,MN,205 EAST 94 STREET,40.7838594,-73.949623
97,MN,467 COLUMBUS AVENUE,40.7840568,-73.9735386
98,MN,85 WEST 119 STREET,40.8038538,-73.9474262
99,MN,74 IRVING PLACE,40.7366985,-73.9864214
100,MN,2290 2 AVENUE,40.7978923,-73.9367184
101,MN,41 WEST 118 STREET,40.8029864,-73.9473257
102,MN,106 WEST 13 STREET,40.7367294,-73.9980839
103,MN,768 5 AVENUE,40.764454,-73.9744452
104,MN,510 EAST 86 STREET,40.7754565,-73.9467482
105,MN,300 EAST 2 STREET,40.7205033,-73.9792565
106,MN,68 WEST 116 STREET,40.8016122,-73.9494254
107,MN,774 AMSTERDAM AVENUE,40.7953971,-73.969778
108,MN,105 HAVEN AVENUE,40.8447777,-73.9420989
109,MN,302 WEST 77 STREET,40.783032,-73.9825699
110,MN,2293 2 AVENUE,40.798222,-73.9373104
111,MN,65 MOTT STREET,40.7161822,-73.9984525
112,MN,6 HANCOCK PLACE,40.8101365,-73.9538333
113,MN,129 DUANE STREET,40.7164317,-74.0072039
114,MN,504 EAST 118 STREET,40.7959133,-73.9317615
115,MN,4395 BROADWAY,40.8548161,-73.9338555
116,MN,115 AVENUE D,40.7238952,-73.976142
117,MN,102 AVENUE C,40.7238491,-73.9787035
118,MN,202 WEST 98 STREET,40.7953807,-73.9700416
119,MN,511 WEST 20 STREET,40.746281,-74.0060739
120,MN,173 EAST 117 STREET,40.7991678,-73.9402243
121,MN,87 SOUTH STREET,40.7058261,-74.0041153
122,MN,200 WEST 41 STREET,40.7553437,-73.9878614
123,MN,590 WEST END AVENUE,40.790491,-73.9762806
124,MN,124 WEST 139 STREET,40.8170938,-73.9406526
125,MN,930 COLUMBUS AVENUE,40.7990814,-73.9633328
126,MN,224 EAST 50 STREET,40.7552443,-73.9699333
127,MN,3155 BROADWAY,40.814714,-73.9595128
128,MN,799 WASHINGTON STREET,40.7388783,-74.0078161
129,MN,351 WEST 141 STREET,40.8212819,-73.9455481
130,MN,1530 ST NICHOLAS AVENUE,40.8526077,-73.9309262
131,MN,42 VAN CORLEAR PLACE,40.8767334,-73.910673
132,MN,626 RIVERSIDE DRIVE,40.8235556,-73.9544346
133,MN,304 WEST 76 STREET,40.7824502,-73.9833212
134,MN,111 WEST 44 STREET,40.7566497,-73.9837896
135,MN,4500 BROADWAY,40.8578999,-73.9316292
136,MN,163 EAST 78 STREET,40.7741933,-73.9586132
137,MN,40 WEST 86 STREET,40.7859007,-73.9715228
138,MN,40 RENWICK STREET,40.7255333,-74.0082114
139,MN,275 SOUTH STREET,40.7107057,-73.9877145
140,MN,566 WEST 170 STREET,40.8418225,-73.9384909
141,MN,137 WEST 138 STREET,40.8170584,-73.941321
142,MN,516 WEST 159 STREET,40.83426,-73.9420611
143,MN,140 EAST 92 STREET,40.7832104,-73.9531189
144,MN,19 WEST 128 STREET,40.8089178,-73.9416966
145,MN,226 EAST 10 STREET,40.7290158,-73.9855679
146,MN,74 BROAD STREET,40.7046454,-74.0118264
147,MN,191 AVENUE A,40.7290701,-73.9816424
148,MN,131 EAST 85 STREET,40.779078,-73.9561187
149,MN,204 SHERMAN AVENUE,40.8657102,-73.921263
150,MN,34 EAST 35 STREET,40.7478085,-73.9815614
151,MN,367 WEST 19 STREET,40.7440469,-74.002602
152,MN,635 WEST 170 STREET,40.8433525,-73.9408026
153,MN,611 WEST 113 STREET,40.8066549,-73.9660739
154,MN,506 LENOX AVENUE,40.8142933,-73.9389933
155,MN,107 AVENUE A,40.7260128,-73.9839306
156,MN,73 CANAL STREET,40.7153448,-73.9926664
157,MN,6 EAST 81 STREET,40.7778588,-73.9622793
158,MN,12 AVENUE,40.7570239,-74.0069989
159,MN,686 PARK AVENUE,40.7689916,-73.9658332
160,MN,288 WEST 137 STREET,40.8173293,-73.9450853
161,MN,530 ISHAM STREET,40.8664661,-73.9189518
162,MN,631 EAST 11 STREET,40.7270548,-73.9778979
163,MN,48 EAST 73 STREET,40.771961,-73.9643406
164,MN,211 WEST 137 STREET,40.8171364,-73.943438
165,MN,145 EAST 92 STREET,40.7833857,-73.9524002
166,MN,15 GREENWICH AVENUE,40.734347,-74.0000794
167,MN,40 RECTOR STREET,40.7086304,-74.0146585
168,MN,34 ELDRIDGE STREET,40.7155232,-73.9930596
169,MN,371 EAST 10 STREET,40.7265389,-73.9785655
170,MN,159 EAST HOUSTON STREET,40.7227389,-73.9890868
171,MN,83 LEROY STREET,40.7303697,-74.0060219
172,MN,170 EAST 91 STREET,40.7820216,-73.9522892
173,MN,533 WEST 149 STREET,40.8285286,-73.9469514
174,MN,222 WEST 45 STREET,40.7582338,-73.9871679
175,MN,124 WEST 111 STREET,40.7991821,-73.95344
176,MN,273 WADSWORTH AVENUE,40.853311,-73.9320569
177,MN,170 WEST 130 STREET,40.8117331,-73.9456534
178,MN,31 WEST 8 STREET,40.7331256,-73.9978603
179,MN,135 EAST 23 STREET,40.739786,-73.984299
180,MN,474 7 AVENUE,40.7521792,-73.9900961
181,MN,WEST 46 STREET,40.7651321,-74.0006606
182,MN,195 10 AVENUE,40.7469343,-74.0051284
183,MN,12 EAST 96 STREET,40.7872816,-73.95503
184,MN,531 WEST 144 STREET,40.8252497,-73.9491436
185,MN,340 EAST 105 STREET,40.7890568,-73.9414143
186,MN,729 7 AVENUE,40.7601437,-73.9835506
187,MN,237 WEST 138 STREET,40.818056,-73.9436829
188,MN,38 WEST 95 STREET,40.7914164,-73.9667895
189,MN,480 8 AVENUE,40.7522673,-73.9930846
190,MN,338 EAST 5 STREET,40.7258595,-73.9873473
191,MN,333 EAST 14 STREET,40.7319194,-73.9831859
192,MN,123 EAST 69 STREET,40.7688977,-73.9640101
193,MN,206 EAST 87 STREET,40.7790878,-73.9531182
194,MN,463 WEST 164 STREET,40.8371398,-73.9380255
195,MN,1053 LEXINGTON AVENUE,40.7721574,-73.9606796
196,MN,240 EAST 2 STREET,40.7216072,-73.9818609
197,MN, FDR DRIVE,40.7648257,-73.9520814
198,MN,139 EAST 95 STREET,40.7855263,-73.9516331
199,MN,323 WEST 22 STREET,40.7452986,-73.999982
200,MN,225 HUDSON STREET,40.7242625,-74.008103
201,MN,55 EAST 77 STREET,40.7749823,-73.9624651
202,MN,512 EAST 5 STREET,40.7243824,-73.9838119
203,MN,620 WEST 138 STREET,40.8222768,-73.9548799
204,MN,48 ST MARKS PLACE,40.728091,-73.9870654
205,MN,1879 AMSTERDAM AVENUE,40.8300449,-73.9436872
206,MN,499 BROADWAY,40.7223277,-73.9999892
207,MN,440 EAST 87 STREET,40.7766919,-73.9474368
208,MN,116 EAST 80 STREET,40.7758184,-73.9594173
209,MN,338 WEST 71 STREET,40.7794725,-73.9863874
210,MN,1854 2 AVENUE,40.783968,-73.9468858
211,MN,181 HESTER STREET,40.7181611,-73.9973197
212,MN,310 EAST 44 STREET,40.7505537,-73.9704841
213,MN,129 EAST 106 STREET,40.7926439,-73.9464888
214,MN,56 EAST 92 STREET,40.7841967,-73.9555015
215,MN,626 WEST 138 STREET,40.82234,-73.9550316
216,MN,73 MERCER STREET,40.7227779,-74.000469
217,MN,344 WEST 52 STREET,40.7639648,-73.9867877
218,MN,66 WEST 88 STREET,40.7873965,-73.9708794
219,MN,60 WEST 10 STREET,40.7343168,-73.9981453
220,MN,528 EAST 12 STREET,40.7282986,-73.9800551
221,MN,22 BARROW STREET,40.7325327,-74.0032113
222,MN,429 EAST 9 STREET,40.7278215,-73.9834431
223,MN,10 EAST 79 STREET,40.7763933,-73.963042
224,MN,103 SULLIVAN STREET,40.7255939,-74.0027853
225,MN,36 EAST 2 STREET,40.7251681,-73.9904104
226,MN,2349 2 AVENUE,40.7999834,-73.9360193
227,MN,206 EAST 9 STREET,40.7297106,-73.9889413
228,MN,4 WEST 121 STREET,40.804534,-73.9463456
229,MN,18 JUMEL TERRACE,40.8349473,-73.9389852
230,MN,349 WEST 4 STREET,40.739153,-74.003724
231,MN,120 CHRISTOPHER STREET,40.7329937,-74.0055928
232,MN,2001 AMSTERDAM AVENUE,40.8341303,-73.9407747
233,MN,620 WEST 147 STREET,40.8278797,-73.9504497
234,MN,2015 1 AVENUE,40.7882883,-73.9414511
235,MN,46 CARMINE STREET,40.7298291,-74.0033591
236,MN,123 WEST 111 STREET,40.799591,-73.9532157
237,MN,1085 5 AVENUE,40.7836679,-73.9581379
238,MN,424 EAST 14 STREET,40.7305989,-73.9815481
239,MN,52 WEST 119 STREET,40.8031399,-73.9469355
240,MN,239 WEST 139 STREET,40.8187337,-73.9433788
241,MN,219 EAST 116 STREET,40.797814,-73.9389614
242,MN,176 WEST BROADWAY,40.7181554,-74.0074385
243,MN,353 WEST 122 STREET,40.8093326,-73.9545924
244,MN,301 WEST 89 STREET,40.7912157,-73.9768112
245,MN,3565 BROADWAY,40.8274541,-73.9502115
246,MN,464 WEST 145 STREET,40.8247465,-73.947182
247,MN,24 WEST 88 STREET,40.7868225,-73.9695182
248,MN,1968 2 AVENUE,40.787458,-73.9442721
249,MN,166 EAST 92 STREET,40.7826939,-73.9519313
250,MN,426 WEST 47 STREET,40.7618793,-73.9916289
251,MN,454 WEST 58 STREET,40.7692156,-73.9872993
252,MN,12 WEST 17 STREET,40.7381181,-73.9932593
253,MN,785 9 AVENUE,40.7650876,-73.9881809
254,MN,WEST 72 STREET,40.7805047,-73.9872611
255,MN,73 EAST 2 STREET,40.7241991,-73.9890757
256,MN,432 AVENUE OF THE AMER,40.7344129,-73.9986252
257,MN,433 EAST 75 STREET,40.7693,-73.9529193
258,MN,345 MADISON STREET,40.7137243,-73.9824618
259,MN,170 WEST 136 STREET,40.8155578,-73.9427999
260,MN,2292 FREDRICK DOUGLASS BL,40.8088647,-73.9515873
261,MN,520 WEST 140 STREET,40.8222917,-73.95105
262,MN,311 EAST 73 STREET,40.7693262,-73.9569014
263,MN,489 HUDSON STREET,40.732667,-74.0067654
264,MN,333 WEST 21 STREET,40.7448786,-74.0008986
265,MN,109 WEST 17 STREET,40.7396992,-73.9959115
266,MN,1474 3 AVENUE,40.7772608,-73.9555495
267,MN,515 EAST 85 STREET,40.7751738,-73.9468639
268,MN,20 BOGARDUS PLACE,40.8592901,-73.9293394
269,MN,246 EAST 121 STREET,40.8001893,-73.9360264
270,MN,76179 7 AVENUE,40.7612579,-73.9825901
271,MN,202 WEST 139 STREET,40.8178715,-73.9424944
272,MN,613 WEST 144 STREET,40.82628,-73.9515927
273,MN,88 NAGLE AVENUE,40.8607028,-73.9280293
274,MN,215 EAST 72 STREET,40.7696676,-73.959681
275,MN,53 WEST 83 STREET,40.7843035,-73.9724552
276,MN,502 WEST 134 STREET,40.8182964,-73.9534772
277,MN,440 WEST 20 STREET,40.7452024,-74.004641
278,MN,45 WEST 21 STREET,40.7414474,-73.9927537
279,MN,163 MULBERRY STREET,40.7197943,-73.9974026
280,MN,523 MANHATTAN AVENUE,40.8087424,-73.9544628
281,MN,159 WEST 131 STREET,40.8126301,-73.9446665
282,MN,31 WEST 21 STREET,40.7411729,-73.9921042
283,MN,179 EAST 64 STREET,40.7651377,-73.9648027
284,MN,1367 5 AVENUE,40.7989132,-73.9473326
285,MN,168 EAST 89 STREET,40.7808143,-73.9533011
286,MN,545 WEST 48 STREET,40.7646544,-73.9942602
287,MN,234 EAST 35 STREET,40.745642,-73.976441
288,MN,288 BROOME STREET,40.7187125,-73.9914611
289,MN,463 WEST 153 STREET,40.8302011,-73.9431667
290,MN,427 WASHINGTON STREET,40.7229997,-74.0101737
291,MN,304 PEARL STREET,40.7082086,-74.0026799
292,MN,19 FT WASHINGTON AVENUE,40.8358314,-73.9449869
293,MN,205 EAST 78 STREET,40.7736246,-73.9572632
294,MN,48 WEST 25 STREET,40.743731,-73.9913857
295,MN,304 EAST 30 STREET,40.7418572,-73.9773553
296,MN,86 PERRY STREET,40.7352252,-74.0045574
297,MN,181 VARICK STREET,40.7275536,-74.0058268
298,MN,43 EAST 18 STREET,40.7376347,-73.9892142
299,MN,406 WEST 25 STREET,40.7478045,-74.0010466
300,MN,14 WEST 82 STREET,40.7828515,-73.9721633
301,MN,444 WEST 23 STREET,40.7469728,-74.003194
302,MN,306 EAST 89 STREET,40.7793334,-73.949807
303,MN,223 WEST 20 STREET,40.7428585,-73.9980152
304,MN,306 WEST 142ND STREET,40.8209765,-73.9440526
305,MN,50 WEST 17 STREET,40.7387467,-73.9947496
306,MN,214 WEST 14 STREET,40.7387166,-74.0009094
307,MN,59 WEST 126 STREET,40.8081915,-73.9438032
308,MN,362 WEST 121 STREET,40.8084079,-73.955525
309,MN,1164 BROADWAY,40.7449027,-73.9884877
310,MN,15 EAST 10 STREET,40.7331474,-73.9942593
311,MN,16 EAST 52 STREET,40.7591212,-73.9752991
312,MN,2138 BROADWAY,40.7810472,-73.9808228
313,MN,70 BOWERY,40.7167283,-73.9962375
314,MN,54 WEST 124 STREET,40.8064217,-73.9449679
315,MN,373 AMSTERDAM AVENUE,40.7821969,-73.9786126
316,MN,608 WEST 184 STREET,40.8511378,-73.9331254
317,MN,544 WEST 48 STREET,40.7640505,-73.9947692
318,MN,311 WEST 126 STREET,40.8113403,-73.951282
319,MN,236 2 AVENUE,40.7324795,-73.9844017
320,MN,340 EAST 85 STREET,40.7763888,-73.9509213
321,MN,214 EAST 83 STREET,40.7763245,-73.9547088
322,MN,58 CHARLES STREET,40.7347642,-74.0027063
323,MN,28 EAST 94 STREET,40.7858435,-73.9555112
324,MN,6 EAST 10 STREET,40.733002,-73.9950278
325,MN,39 WEST 54 STREET,40.7621244,-73.9773845
326,MN,2306 1 AVENUE,40.7974022,-73.9339884
327,MN,22 EAST BROADWAY,40.7136954,-73.9969483
328,MN,177 EAST 79 STREET,40.7747803,-73.9577391
329,MN,200 CLAREMONT AVENUE,40.8151532,-73.9596173
330,MN,62 WASHINGTON MEWS,40.731679,-73.9959985
331,MN,255 CANAL STREET,40.7187678,-74.0005664
332,MN,1416 3 AVENUE,40.7753399,-73.9568686
333,MN,390 AVENUE OF THE AMER,40.7332326,-73.9994876
334,MN,7 EAST 74 STREET,40.773652,-73.9651954
335,MN,175 LEXINGTON AVENUE,40.7442677,-73.9809417
336,MN,180 ST NICHOLAS AVENUE,40.8058953,-73.9524672
